,level_0,index,song,artist
1254,3506,2429,new man,ed sheeran
1255,276,593,look what you made me do,taylor swift
1256,2852,5205,"bitch, don’t kill my vibe",kendrick lamar
1257,3090,4131,emoji a chain,migos
1258,286,8627,forgive me,odesza
1259,915,7098,lie lie lie,joshua bassett
1260,1202,10817,ride of your life,tinashe
1261,2729,10507,chamber of reflection,mac demarco
1262,4018,2299,fun,pitbull
1263,2349,10202,antiromantic,tomorrow x together
1264,2141,66,mood,24kgoldn
1265,4096,6433,1000 doves,lady gaga
1266,658,8814,burning,maggie rogers
1267,980,4550,where were you in the morning?,shawn mendes
1268,2297,539,thotiana,blueface
1269,1816,7958,two cups,rich the kid
1270,2305,6325,hussle & motivate,nipsey hussle
1271,3916,2096,dangerous,david guetta
1272,2245,8336,brand name,mac miller
1273,1519,3084,shameless,camila cabello
1274,3602,8748,aca entre nos,vicente fernández
1275,2169,9485,jeanmichel,cordae
1276,895,5300,bloody canvas,polo g
1277,4727,7502,can you blame me,kehlani
1278,2888,2009,no long talk,drake
1279,3489,3339,jugg,fetty wap
1280,1920,1584,time today,moneybagg yo
1281,1734,10482,lips,the xx
1282,275,2739,easy,camila cabello
1283,4322,1408,yah.,kendrick lamar
1284,502,3734,off white vlone (lil baby & gunna feat. lil durk & nav),lil baby
1285,3238,4344,zoo york,lil tjay
1286,2600,6894,losses,polo g
1287,1614,2707,headlights,robin schulz
1288,563,10951,huey,earl sweatshirt
1289,409,9282,am sorry,asuking
1290,3779,10555,bang that,disclosure
1291,1818,3474,oxytocin,billie eilish
1292,2236,5231,intro (hate on me),meek mill
1293,2492,9516,pain & strife,freddie gibbs
1294,1550,9003,burden,aminé
1295,3830,5549,pothole,"tyler, the creator"
1296,1908,3052,reply,a boogie wit da hoodie
1297,2298,10082,days like this,goldlink
1298,1311,653,love on the brain,rihanna
1299,2551,9267,i don’t even know you anymore,netsky
1300,3483,10030,interlude : set me free,agust d
1301,171,3845,starlight (taylor's version),taylor swift
1302,4220,2540,let me,zayn
1303,2708,324,stitches,shawn mendes
1304,4197,4002,ain't no time,future
1305,3287,9926,somewhere in paradise,chance the rapper
1306,3079,7606,family and loyalty,gang starr
1307,478,1345,planez,jeremih
1308,982,625,my oh my,camila cabello
1309,4857,3585,angel,the weeknd
1310,2922,10600,wild love,cashmere cat
1311,4867,885,childs play,drake
1312,2978,4398,iconic (ft. jaden smith),logic
1313,1200,2927,she knows this,kid cudi
1314,2072,6518,baby boy,childish gambino
1315,751,5069,unica,ozuna
1316,228,9154,audemar,young thug
1317,624,9342,god might judge,logic
1318,4903,2997,sweet / i thought you wanted to dance,"tyler, the creator"
1319,989,9613,the pressure,nas
1320,3583,7585,forgiveness,paramore
1321,3565,8764,patricia,florence + the machine
1322,2785,1527,let her go,passenger
1323,2359,7762,neo,aminé
1324,2597,2333,heading south,zach bryan
1325,436,1522,you make it feel like christmas,gwen stefani
1326,3277,9631,late night messages,wiz khalifa
1327,2632,2780,escapism.,raye
1328,632,285,toosie slide,drake
1329,3132,8451,salt and the sea,the lumineers
1330,4142,5912,caro,bad bunny
1331,224,327,calling my phone,lil tjay
1332,3966,5660,major,young dolph
1333,4239,2942,bo$$,fifth harmony
1334,3603,5760,home,mike dimes
1335,4362,9209,so fast,lil mosey
1336,2593,1272,lonely together,avicii
1337,1977,6346,backseat freestyle,kendrick lamar
1338,4351,7023,suu whoop,yg
1339,703,10965,meltdown,stromae
1340,3318,381,old town road,lil nas x
1341,2446,3113,we are,justin bieber
1342,3172,7455,because of you,kodak black
1343,2433,10230,white people  scene,logic
1344,3862,7862,no interviews,lil durk
1345,2685,4569,18,one direction
1346,3190,6324,anyway,chris brown
1347,4307,2675,purple hearts,kendrick lamar
1348,1924,6715,ain't no sunshine,bill withers
1349,3676,1802,bleed it,blueface
1350,3536,6434,caught up in the country,rodney atkins
1351,263,8469,a little house on the river,keyliu
1352,1831,1451,all night,chance the rapper
1353,1245,4899,lick,offset
1354,3789,3400,stay stay stay (taylor's version),taylor swift
1355,213,5624,12.38,childish gambino
1356,3485,1707,antarctica,$uicideboy$
1357,4442,60,meant to be,bebe rexha
1358,1254,8643,these demons,eminem
1359,1065,1665,wall  loverboy,a
1360,4269,9193,ghetto superstar,roddy ricch
1361,3771,4259,toxic,britney spears
1362,3174,8911,footsteps,kehlani
1363,2086,1701,boss,lil pump
1364,2611,2875,h u n g e r . o n . h i l l s i d e,j. cole
1365,3675,9535,demons in my cup,nav
1366,1339,3829,triggered (freestyle),jhené aiko
1367,3403,985,say it,tory lanez
1368,605,8083,aa,walker hayes
1369,1735,423,in the name of love,martin garrix
1370,262,7276,cattitude,miley cyrus
1371,4389,6234,dead people,21 savage
1372,2902,6372,killed before,young thug
1373,4892,10821,desperado  eagles 2013 remaster,eagles
1374,4753,6032,uptown funk  trinidad james remix,mark ronson
1375,3997,8046,girl like me,jazmine sullivan
1376,1033,1676,intro,dababy
1377,3686,1954,she loves control,camila cabello
1378,15,7136,freak hoe,future
1379,2627,2506,se preparó,ozuna
1380,936,3465,lonesome train,stan kenton
1381,1228,1554,the last great american dynasty,taylor swift
1382,371,6296,right now,playboi carti
1383,2126,3793,down in atlanta,pharrell williams
1384,3820,10836,rise,selena gomez
1385,2821,2841,you better move,lil uzi vert
1386,3001,8166,still life,rm
1387,1272,117,the way life goes,lil uzi vert
1388,404,2601,bitchuary,shordie shordie
1389,14,2399,patek water,future
1390,3270,7907,(sittin' on) the dock of the bay,otis redding
1391,1239,10449,mistakes,tove styrke
1392,3523,7267,gone till november,rod wave
1393,3826,6533,untitled 01 | 08.19.2014.,kendrick lamar
1394,4839,5266,make you feel good,fetty wap
1395,1684,2811,$$$  with matt ox,xxxtentacion
1396,2315,4886,danny phantom,trippie redd
1397,317,10874,salvatore,lana del rey
1398,520,912,tear in my heart,twenty one pilots
1399,1249,7497,angel,brent faiyaz
1400,162,2217,used,sza
1401,1928,2900,bout a million,pop smoke
1402,2717,5611,broken guitars,polo g
1403,2885,5207,bye bye baby (taylor’s version) (from the vault),taylor swift
1404,2091,7761,callin,youngboy never broke again
1405,3932,5353,i won't back down,tom petty
1406,2882,5711,cool,dua lipa
1407,395,987,life's a mess,juice wrld
1408,2485,11068,wilderness,nick jonas
1409,2951,2694,yebba’s heartbreak,drake
1410,2659,5684,adicto,tainy
1411,2034,10855,yellow submarine  remastered 2009,the beatles
1412,225,914,malibu,miley cyrus
1413,304,3745,so close,notd
1414,2040,9561,200 for lunch,gunna
1415,4340,2753,death by a thousand cuts,taylor swift
1416,47,8722,4th baby mama  prelude,summer walker
1417,3556,10577,a guy with a girl,blake shelton
1418,1570,6049,tomorrow's dust,tame impala
1419,3729,490,ball for me,post malone
1420,2094,10953,we all want the same thing,rixton
1421,4997,6057,do it on the tip,megan thee stallion
1422,1510,869,ily,surf mesa
1423,2362,8727,nice to meet ya,meghan trainor
1424,3366,3034,the a team,ed sheeran
1425,4990,7672,epmd 2,nas
1426,1029,5559,crazy over you,blackpink
1427,2495,3822,all i want for christmas is you  original version,mariah carey
1428,1954,444,heartless,the weeknd
1429,4745,4281,broke as fuck,cordae
1430,1421,8717,falling for you with justin bieber,jaden
1431,4187,4670,from the garden,isaiah rashad
1432,2181,1266,champagne problems,taylor swift
1433,2319,8364,run run run,kelly clarkson
1434,1711,9722,unbearably white,vampire weekend
1435,3212,1973,kill this love,blackpink
1436,3658,130,wasted on you,morgan wallen
1437,2000,592,here,alessia cara
1438,1056,8234,ryda,the game
1439,2760,8462,dominic’s interlude,halsey
1440,1389,1218,you know you like it,dj snake
1441,2994,5296,only 1 (interlude),metro boomin
1442,114,8802,best song ever,one direction
1443,4396,3744,tu sabes que te quiero,chucho flash
1444,1181,5107,sad sh*t,dababy
1445,138,2208,seeing green,nicki minaj
1446,3330,3089,hula hoop,omi
1447,3706,6956,me gusta,shakira
1448,4119,3490,savior  interlude,kendrick lamar
1449,4014,7372,christmas time,backstreet boys
1450,1535,2454,hasta que dios diga,anuel aa
1451,416,10169,come see about me,nicki minaj
1452,1691,1750,first off,future
1453,3803,8073,ptsd,dreamville
1454,3114,7759,control,halsey
1455,3855,2652,hardest to love,the weeknd
1456,2320,7784,case 143,stray kids
1457,3974,4235,crzy,kehlani
1458,4765,8035,abcdefu (angrier),gayle
1459,1262,8703,leave your life,ed sheeran
1460,4272,1667,ghostin,ariana grande
1461,2410,10288,tu olor,ozuna
1462,2417,1032,stolen dance,milky chance
1463,1103,4620,snake skin,trippie redd
1464,1464,6490,call the coroner,future
1465,4248,5488,gfy,blackbear
1466,1063,1771,tic toc,6ix9ine
1467,2673,7460,you deserve it all,john legend
1468,793,10520,complicated,dimitri vegas & like mike
1469,2623,8489,banana boat song,harry belafonte
1470,741,1055,over now,post malone
1471,4945,2315,thumbs,sabrina carpenter
1472,2347,8,sad!,xxxtentacion
1473,2917,7395,harden,lil wayne
1474,4328,2864,won't be late,swae lee
1475,3338,8835,wild love,james bay
1476,1581,10909,i hate u i love u,gnash
1477,3901,4510,leave me alone,nf
1478,3679,8738,look up at the stars,shawn mendes
1479,4218,10003,flux capacitor,jay electronica
1480,2637,5127,mask,dream
1481,499,3435,before i close my eyes,xxxtentacion
1482,1779,57,truth hurts,lizzo
1483,648,9305,superhero,lauv
1484,947,880,worth it,fifth harmony
1485,490,144,dreams  2004 remaster,fleetwood mac
1486,2281,7429,krazy but true,future
1487,962,7506,300 blackout,kodak black
1488,1868,6560,some girls,jameson rodgers
1489,4957,6031,freshman list,nav
1490,36,5384,stressed,young thug
1491,4670,4823,demon time,trippie redd
1492,1391,6408,everybody business,kehlani
1493,738,9038,all caps,madvillain
1494,4897,410,when it rains it pours,luke combs
1495,3200,2436,gone girl,iann dior
1496,1371,3049,shining,dj khaled
1497,4942,8339,split decision,partynextdoor
1498,2164,2809,criminal,natti natasha
1499,1945,9939,ranada,youngboy never broke again
1500,3980,5112,championships,meek mill
1501,3475,1594,antisocial,ed sheeran
1502,3343,3450,where it ends,bailey zimmerman
1503,4622,7446,be free,a boogie wit da hoodie
1504,285,2779,dna,bts
1505,4579,10844,faded,zhu
1506,1236,10506,can't buy me love  remastered,the beatles
1507,283,7867,the trade,tory lanez
1508,1993,2433,say a',a boogie wit da hoodie
1509,4645,187,money trees,kendrick lamar
1510,3748,9540,kesi  remix,camilo
1511,2081,6539,only,nf
1512,1496,5933,oops,lil yachty
1513,2355,3558,home with you,madison beer
1514,4181,2755,pop,lil uzi vert
1515,3402,4036,mad stalkers,21 savage
1516,684,2488,4 your eyez only,j. cole
1517,4440,3482,forever winter (taylor's version) (from the vault),taylor swift
1518,4669,3534,state of emergency,logic
1519,3396,4323,auto pilot,migos
1520,3589,8044,182  no future,blink
1521,4247,1515,still trappin',lil durk
1522,4034,5440,global,lil baby
1523,3587,6639,cool again,kane brown
1524,464,8672,linger,the cranberries
1525,4838,7777,gin n juice,snoop dogg
1526,1662,2350,oprah's bank account (lil yachty & dababy feat. drake),lil yachty
1527,2652,9981,darkside,iann dior
1528,2047,4257,paradise,khalid
1529,2257,4336,hero,family of the year
1530,3621,9447,qué pena,maluma
1531,2249,10351,so good,zara larsson
1532,3134,1189,wolves,big sean
1533,3750,4795,we were happy (taylor’s version) (from the vault),taylor swift
1534,3466,10348,monopoly,dj diddy
1535,2050,671,splashin,rich the kid
1536,4288,5853,daddy lessons,beyoncé
1537,4548,2075,mad at disney,salem ilese
1538,604,2991,neon eyes,morgan wallen
1539,1701,7114,session 33,summer walker
1540,1997,8881,glad he's gone,tove lo
1541,763,1144,boy with luv,bts
1542,3355,10560,dance off,macklemore & ryan lewis
1543,536,6789,let me love you like a woman,lana del rey
1544,3430,9290,scarred,giveon
1545,733,8321,thankful,dj khaled
1546,817,9025,i won't,ajr
1547,1824,5881,first times,ed sheeran
1548,3033,2184,i think,"tyler, the creator"
1549,1217,5038,christmas without you,ava max
1550,4417,4956,do the most,tory lanez
1551,3075,7783,people under the stairs,mac miller
1552,639,2213,tolerate it,taylor swift
1553,3386,8695,abandoned,trippie redd
1554,2118,7378,forgiven,2 chainz
1555,4201,3341,plan b,megan thee stallion
1556,2889,10468,gone,afrojack
1557,4715,4993,canción con yandel,yandel
1558,2693,868,un ratito,bad bunny
1559,4681,1094,lil bit,nelly
1560,102,10343,kings & queens,slicktor victor
1561,4644,6103,$uicideboy$ were better in 2015,$uicideboy$
1562,4703,6598,nobody special,hotboii
1563,4948,4813,secrets,tiësto
1564,193,8126,wilson (expensive mistakes),fall out boy
1565,3031,5493,fine whine,a$ap rocky
1566,4558,11011,desire,years & years
1567,3777,3469,uh huh,julia michaels
1568,3237,5076,stunting ain't nuthin,gucci mane
1569,1676,8221,let it out,trippie redd
1570,2658,10625,campaign speech,eminem
1571,929,10901,loved by you,powers
1572,2851,4091,feeling like the end,joji
1573,1438,5604,ain't it fun,paramore
1574,970,1395,patty cake,kodak black
1575,4615,8167,"enjoy right now, today","tyler, the creator"
1576,4987,1440,grapejuice,harry styles
1577,1621,9937,with me,nav
1578,3080,2470,miss americana & the heartbreak prince,taylor swift
1579,3786,3445,magic,thomas gold
1580,3219,558,heaven,kane brown
1581,4157,9969,don't worry bout me,zara larsson
1582,541,10133,drippin',rich the kid
1583,2847,7483,foreign,playboi carti
1584,1340,1216,boss bitch,doja cat
1585,1648,3253,daylight,joji
1586,2997,1735,purple lamborghini,skrillex
1587,4394,9446,sinning with you,sam hunt
1588,444,9813,why can't this be love,van halen
1589,4299,7801,say na,moneybagg yo
1590,979,6277,5150,machine gun kelly
1591,2383,7850,tenemos que hablar,bad bunny
1592,3821,9206,windows,brockhampton
1593,653,3631,it’s nice to have a friend,taylor swift
1594,1643,637,element.,kendrick lamar
1595,2420,1732,tshirt,thomas rhett
1596,4988,10988,ain't worth the whiskey,cole swindell
1597,1257,7864,siendo sincero,los del limit
1598,2453,4231,hell of a view,eric church
1599,2754,891,enough for you,olivia rodrigo
1600,1671,6871,unsainted,slipknot
1601,4155,6927,in check,bryson tiller
1602,4365,2058,wake me up,avicii
1603,3851,7693,heat of the moment,drake
1604,3649,2877,my blood,twenty one pilots
1605,2019,486,never be the same,camila cabello
1606,4959,11067,hot n cold,katy perry
1607,4320,5327,nothing inside,machine gun kelly
1608,3290,2155,is there someone else?,the weeknd
1609,872,8344,i did it,a boogie wit da hoodie
1610,2735,7576,hold me down,youngboy never broke again
1611,3999,5494,into it,camila cabello
1612,3059,274,telepatía,kali uchis
1613,1117,10664,buried in detroit  lucas löwe remix,mike posner
1614,4843,2687,hot shit,cardi b
1615,2439,585,chicago freestyle,drake
1616,1467,6964,polaroid,imagine dragons
1617,4332,3015,hideaway,kiesza
1618,3359,3301,the return,logic
1619,588,6497,super,cordae
1620,925,9334,rich shit,youngboy never broke again
1621,1299,8085,gold dust,galantis
1622,4907,4219,killer queen  remastered 2011,queen
1623,374,2530,bed of lies,nicki minaj
1624,1530,6067,everything,nas
1625,294,198,love yourself,justin bieber
1626,4951,8777,bts,wiz khalifa
1627,4795,7031,holding on,iann dior
1628,995,2406,nights with you,mø
1629,1347,756,bam bam,camila cabello
1630,2535,8900,steal my girl  88 ninety's 'raiders of the lost art' remix,one direction
1631,930,5472,you can cry,marshmello
1632,3069,3514,virgo's groove,beyoncé
1633,4710,3849,up down,morgan wallen
1634,181,2666,good things fall apart,illenium
1635,608,3256,cheyenne,jason derulo
1636,4249,10700,winter wonderland  single version,louis armstrong
1637,1976,5895,introduction (instructions),xxxtentacion
1638,1705,9820,sunlight on your skin  bonus track,lil peep
1639,3593,2727,smoking on my ex pack,sza
1640,3133,873,middle of the night,elley duhé
1641,4936,6275,social distancing,lil baby
1642,2555,10378,tomorrow til infinity,young thug
1643,412,6755,yao ming,gunna
1644,712,10897,transmission,zedd
1645,868,6198,on everything,dj khaled
1646,1585,2528,burnin' it down,jason aldean
1647,2743,2888,bad decisions,benny blanco
1648,760,455,sucker for pain,lil wayne
1649,2823,6401,like me,future
1650,2275,3508,congratulations  remix,post malone
1651,3709,6181,new tank,playboi carti
1652,2642,7976,summer,the carters
1653,1917,9143,malcolm x.x.x.,kodak black
1654,3044,1257,pain,pinkpantheress
1655,339,9529,"always, i'll care",jeremy zucker
1656,1757,6259,feel me,tyga
1657,1226,8474,big paper,dj khaled
1658,1286,798,one man band,old dominion
1659,406,1499,reminds me of you,juice wrld
1660,1808,5765,fine by me,chris brown
1661,3410,8002,blanco,j balvin
1662,524,6909,thinking bout you,ariana grande
1663,3491,3519,yukon (interlude),joji
1664,1071,6473,trust,nf
1665,1169,8467,u and i,ski mask the slump god
1666,1955,8902,ando más que mal,eslabon armado
1667,4406,1734,captain hook,megan thee stallion
1668,4697,3160,spotlight,marshmello
1669,1378,802,4 am,2 chainz
1670,727,6368,untitled 06 | 06.30.2014.,kendrick lamar
1671,104,7260,if you’re too shy (let me know)  edit,the 1975
1672,4975,9928,around the world,daft punk
1673,399,5820,days in the east,drake
1674,4900,7719,fetch the bolt cutters,fiona apple
1675,618,3041,frosty the snowman,the ronettes
1676,3008,5459,fake love don't last,machine gun kelly
1677,3313,1476,hats off,lil baby
1678,1504,7009,keep doing what you're doing,bryson tiller
1679,701,8196,the champion,carrie underwood
1680,3170,5704,richer than errybody,gucci mane
1681,3662,9386,vivid,brockhampton
1682,812,8049,kiss me,olly murs
1683,1792,4843,blame it on me,morgan wallen
1684,2747,1322,by your side,rod wave
1685,1328,5524,from the dining table,harry styles
1686,3886,3682,you'll be back,jonathan groff
1687,3825,9811,los dioses,anuel aa
1688,3260,2635,almost (sweet music),hozier
1689,2512,10659,182  san diego,blink
1690,2656,1827,aguacero,bad bunny
1691,1031,4154,king,years & years
1692,4100,9436,first order of business,baby keem
1693,4543,6395,am,nio garcia
1694,556,1123,on the road,post malone
1695,3838,8569,adore,cashmere cat
1696,4177,9426,repercussions,nav
1697,1444,7523,degeneration in the key of a minor,$uicideboy$
1698,4555,9505,if you leave me now,charlie puth
1699,2025,6240,lies,schoolboy q
1700,4597,9666,can't buy me love  remastered 2009,the beatles
1701,1545,10040,"10,000 degrees",$uicideboy$
1702,1771,4438,i will,eminem
1703,1207,8010,wassup,cordae
1704,3084,8275,skrt skrt,tory lanez
1705,3634,8650,ya!,ski mask the slump god
1706,1434,9029,pasatiempo,daddy yankee
1707,1446,256,new rules,dua lipa
1708,1235,2292,i'm the plug,drake
1709,3521,7780,nda,megan thee stallion
1710,770,10147,new love,silk city
1711,4086,9155,"carolina  ""where the crawdads sing""  video edition",taylor swift
1712,2460,7563,under control,calvin harris
1713,3496,5999,like i loved you,brett young
1714,4541,1196,trampoline,shaed
1715,1335,10518,dreams,zhu
1716,1165,2392,let you love me,rita ora
1717,4457,5369,throw it away,summer walker
1718,390,124,pop out,polo g
1719,4633,3587,merry christmas,ed sheeran
1720,4280,10891,third eye,florence + the machine
1721,3640,5753,siberian orchestra  christmas eve / sarajevo 12/24  instrumental,trans
1722,3795,10535,no lie,sean paul
1723,636,5875,love drugs and sex,a boogie wit da hoodie
1724,1460,1916,backoutsideboyz,drake
1725,2143,9225,rocky road,moneybagg yo
1726,609,1444,champions,kanye west
1727,93,9652,obey,bring me the horizon
1728,879,10626,higher,the naked and famous
1729,2716,2561,j.,ivan cornejo
1730,4066,3752,loved by you,justin bieber
1731,3530,8568,paid my dues,roddy ricch
1732,142,8318,figure 8,maliibu n helene
1733,3504,76,beautiful crazy,luke combs
1734,2686,10256,at the door,the strokes
1735,176,8153,on the loose,niall horan
1736,2528,10938,beautiful to me,olly murs
1737,2507,7345,blood on my denim,a boogie wit da hoodie
1738,1099,4100,intro,khalid
1739,3407,5362,deadz,migos
1740,4675,7188,loser,sueco
1741,4196,180,happier than ever,billie eilish
1742,2199,8670,big bro,quavo
1743,888,6142,street dreams ii,logic
1744,2218,3039,remember the name,ed sheeran
1745,3677,1012,1400 / 999 freestyle,trippie redd
1746,358,7181,chateau,jaden
1747,2095,4004,thailand,roddy ricch
1748,2342,294,money longer,lil uzi vert
1749,109,3617,do right,glades
1750,4387,9842,melee,tory lanez
1751,3020,3723,floor 555,xxxtentacion
1752,885,1307,drankin n smokin,future
1753,4513,815,la noche de anoche,bad bunny
1754,83,9000,birthday,disclosure
1755,3692,9798,100 degrees,rich brian
1756,2966,955,baby sitter,dababy
1757,3404,9547,"love hard, fall fast",flyboy tarantino
1758,393,8716,therapy music,logic
1759,2542,1814,"i can’t get enough (benny blanco, selena gomez, j balvin, tainy)",benny blanco
1760,4125,8328,warrior,young stoner life
1761,1477,5796,manslaughter,pop smoke
1762,208,7662,big star,lorde
1763,4477,9345,hell and high water,major lazer
1764,1363,1083,mr. rager,kid cudi
1765,1886,2254,100,the game
1766,4933,3317,bet you wanna,blackpink
1767,3513,4981,feels,ed sheeran
1768,2048,2957,paul  skit,paul rosenberg
1769,2083,10865,perfect  stripped,one direction
1770,2504,3231,"alone, part 3",xxxtentacion
1771,941,369,popstar,dj khaled
1772,2441,270,shallow,lady gaga
1773,834,3984,single again,big sean
1774,3061,20,fuck love,xxxtentacion
1775,3208,4792,top floor,gunna
1776,1492,7437,mahomes,migos
1777,4985,9509,never had the balls,rex orange county
1778,2085,9129,boyz,jesy nelson
1779,3204,1048,my way,calvin harris
1780,469,5823,outro : ego,bts
1781,3817,10252,bezos ii,bo burnham
1782,3775,6725,come closer,a boogie wit da hoodie
1783,4011,7668,inseparables,yahritza y su esencia
1784,167,2152,tom's diner,annenmaykantereit
1785,458,5911,machine,imagine dragons
1786,3452,10403,face the sun,miguel
1787,2481,1317,stoopid,6ix9ine
1788,635,2854,nobody love,tori kelly
1789,2730,10023,all these niggas,king von
1790,3643,2435,irresistible,fall out boy
1791,1683,2462,juggernaut,"tyler, the creator"
1792,1012,3782,it was always you,maroon 5
1793,1392,7920,know me,nav
1794,2814,5544,all these years,camila cabello
1795,2726,4486,genesis,$uicideboy$
1796,4212,2690,coney island,taylor swift
1797,4300,8978,love like that,lauv
1798,2756,643,go loko,yg
1799,2493,4537,saint laurent mask,huncho jack
1800,4986,6420,hatchback,cochise
1801,1141,5329,hymn,kesha
1802,3782,3345,don't look down,martin garrix
1803,3632,8847,problems,a r i z o n a
1804,4721,2101,ghost,ella henderson
1805,1631,465,photograph,ed sheeran
1806,4971,1288,used to this,future
1807,1190,6192,back together,robin thicke
1808,3221,85,montero (call me by your name),lil nas x
1809,2601,10377,you're beautiful,james blunt
1810,3935,2283,speed it up,gunna
1811,1900,5307,doves in the wind,sza
1812,4339,3817,heaven on earth,kid cudi
1813,4130,6861,shotgun,george ezra
1814,537,2743,reminding me,shawn hook
1815,4195,6977,you asked for this,halsey
1816,2589,3724,dnd,polo g
1817,295,2142,go legend (& metro boomin),big sean
1818,1558,8402,the highs & the lows,chance the rapper
1819,4476,8276,permanent vacation,5 seconds of summer
1820,1481,10166,fire stars,youngboy never broke again
1821,3968,5994,know you know (ft. 2 chainz),lil wayne
1822,2857,10249,abc,the jackson 5
1823,2837,7160,you spin me round (like a record),dead or alive
1824,4976,8512,heaven belongs to you,brockhampton
1825,574,12,sicko mode,travis scott
1826,2943,8187,do not disturb,smokepurpp
1827,3744,3158,corazón,maluma
1828,4776,8241,refugee,tom petty and the heartbreakers
1829,841,7732,act a fool,rick ross
1830,685,4444,ayo,lady gaga
1831,2045,3014,homemade dynamite,lorde
1832,2648,1233,washing machine heart,mitski
1833,4524,4874,take it easy  2013 remaster,eagles
1834,1437,311,space song,beach house
1835,1234,4811,thought it was,iann dior
1836,4938,994,aok,tai verdes
1837,3471,2180,lighthouse  andrelli remix,hearts & colors
1838,4856,8139,neva missa lost,future
1839,3328,2676,123,smokepurpp
1840,797,8971,baby,nav
1841,1710,2733,712pm,future
1842,1883,5821,under the mistletoe  bonus track,kelly clarkson
1843,1518,5165,africaryan,logic
1844,1,5901,love's train,bruno mars
1845,2262,1743,love of my life,harry styles
1846,4540,6687,waka waka (this time for africa) [the official 2010 fifa world cup (tm) song],shakira
1847,4562,5328,wake up alone,the chainsmokers
1848,2560,10091,i am what i am,king von
1849,4491,7536,find me,kings of leon
1850,3348,786,you should be sad,halsey
1851,2016,9078,get your wish,porter robinson
1852,1375,1453,you don't own me,saygrace
1853,7,731,rockabye,clean bandit
1854,2759,6735,eazy  but a dream,g
1855,3435,4371,i believe,jonas brothers
1856,4295,7161,shut up,dababy
1857,3984,8888,why you crying mama,nav
1858,2070,5716,jane,migos
1859,1756,8801,no fly zone,lil baby
1860,4640,4110,baby don't lie,gwen stefani
1861,1833,6787,faygo,the 7 dimensions
1862,188,6271,won’t let go,juice wrld
1863,2963,404,party girl,staysolidrocky
1864,4093,5096,zombie,the cranberries
1865,2692,2043,chosen,blxst
1866,3911,3790,need me,j.i the prince of n.y
1867,2671,591,again,fetty wap
1868,2687,4880,lord willin',logic
1869,2021,4666,my ordinary life,the living tombstone
1870,2792,5363,j  every other freckle,alt
1871,1566,4663,mamacita,tyga
1872,4174,1244,stunnin',curtis waters
1873,3913,6193,chanel,rae sremmurd
1874,4845,1829,jimmy choo,fetty wap
1875,22,4689,no new friends,sia
1876,1595,9957,a hard day's night  remastered 2009,the beatles
1877,2990,5654,sick and tired (ft. machine gun kelly and travis barker),iann dior
1878,3707,2731,thought i was playing,gunna
1879,1242,9486,into the great wide open,tom petty and the heartbreakers
1880,3568,5142,him,sam smith
1881,3012,4391,better,zayn
1882,1402,812,willow,taylor swift
1883,1095,7730,ipad,the chainsmokers
1884,1501,3036,shotgun rider,tim mcgraw
1885,4819,6492,3 o'clock things,ajr
1886,4883,3010,save that shit,lil peep
1887,345,9743,dreams,the cranberries
1888,4036,4406,rockin' around the christmas tree  rerecorded version,brenda lee
1889,2198,3697,ooga booga!,ski mask the slump god
1890,1247,3727,reminder  remix,the weeknd
1891,2475,8808,how the game go,rod wave
1892,1334,1942,right back,khalid
1893,2049,9223,lil favorite,ty dolla $ign
1894,3535,116,zeze,kodak black
1895,1624,269,walk it talk it,migos
1896,2868,9565,4 thangs,freddie gibbs
1897,2409,10021,miser,wavyvibe
1898,3382,1369,infinity,jaymes young
1899,3871,7309,culture national anthem  outro,migos
1900,1559,9989,dear sense,louis the child
1901,5,2070,10 things i hate about you,leah kate
1902,4737,8997,zuu,denzel curry
1903,2580,6356,love drought,beyoncé
1904,4134,5786,big fish,vince staples
1905,551,4188,your new boyfriend,wilbur soot
1906,1377,10389,in tune,blvckengineer
1907,3596,4175,stripes like burberry,future
1908,4566,3850,sorry,future
1909,686,3833,i warned myself,charlie puth
1910,49,1179,satellite,harry styles
1911,1353,4214,o little town of bethlehem,elvis presley
1912,372,1774,kiss it better,rihanna
1913,4214,185,love lies,khalid
1914,3099,5678,people you know,selena gomez
1915,4084,194,work,rihanna
1916,3444,9598,california roll,snoop dogg
1917,986,1564,hit different,sza
1918,1399,10456,liife,desiigner
1919,3336,2795,since way back,drake
1920,3431,6306,zombie,kodak black
1921,2210,10545,so close,andrew mcmahon in the wilderness
1922,1227,1067,wusyaname,"tyler, the creator"
1923,2074,7766,what do you think?,agust d
1924,4760,2126,peek a boo,lil yachty
1925,1906,1108,cross me,ed sheeran
1926,3597,3513,i cannot be (a sadder song),post malone
1927,2061,8754,fortnight,polo g
1928,2616,3178,jingle bells,michael bublé
1929,1408,9672,renee's song,bazzi
1930,582,4594,ride out,kid ink
1931,378,9560,vultures cry 2,kodak black
1932,3461,475,fancy like,walker hayes
1933,1674,3142,tg4m,zara larsson
1934,3665,10754,saint pablo,kanye west
1935,1326,4668,life after salem,lil nas x
1936,1061,6709,lazarus,david bowie
1937,3500,5250,lost in the woods,jonathan groff
1938,3347,9293,don't die,killer mike
1939,532,8410,wasted,don toliver
1940,1027,7434,boss ass bitch,nicki minaj
1941,4372,2354,cool yule,louis armstrong
1942,586,4839,lost it,rich the kid
1943,716,4913,my collection,future
1944,3097,932,crew,goldlink
